user_id,heart_rate_bpm,blood_oxygen_pct,step_count,sleep_duration_hrs,activity_level,stress_level,stress_category,health_score,health_category
18511,101,98.3,492,6.3,Sedentary,4,Moderate,9,Moderate
12608,132,90.4,6654,1.9,Moderate,8,High,6,Low
16292,120,95.2,7838,6.7,Moderate,6,Moderate,9,Moderate
7736,65,97.2,22732,8.4,Highly Active,1,Low,14,Excellent
4764,114,93.2,9087,2.7,Moderate,9,High,6,Low
18318,120,89.1,11320,2.0,Active,10,High,7,Moderate
18426,119,85.3,14102,5.0,Active,9,High,8,Moderate
11108,101,95.5,28481,6.3,Highly Active,6,Moderate,10,Good
2113,187,94.3,1918,0.7,Sedentary,8,High,5,Low
12577,113,95.8,1518,5.5,Sedentary,5,Moderate,8,Moderate
13992,182,89.1,21012,5.7,Highly Active,9,High,8,Moderate
18957,137,86.8,2129,4.6,Sedentary,8,High,5,Low
16094,48,97.6,8698,7.6,Moderate,3,Low,13,Excellent
13195,67,98.9,13647,8.1,Active,1,Low,14,Excellent
15950,102,88.6,3943,3.6,Sedentary,9,High,5,Low
15008,98,98.7,23597,6.2,Highly Active,4,Moderate,11,Good
4637,96,95.5,8104,6.1,Moderate,5,Moderate,9,Moderate
14589,160,90.6,5379,6.0,Moderate,8,High,7,Moderate
17945,113,90.2,9767,4.1,Moderate,10,High,6,Low
14849,193,87.1,2440,4.3,Sedentary,8,High,5,Low
10588,101,98.2,3369,7.4,Sedentary,7,Moderate,10,Good
10900,149,86.5,2884,2.5,Sedentary,10,High,5,Low
5146,102,98.3,2116,5.2,Sedentary,6,Moderate,9,Moderate
18733,191,87.7,13141,4.5,Active,8,High,7,Moderate
222,102,94.4,11961,6.7,Active,6,Moderate,9,Moderate
16200,112,92.3,28567,2.5,Highly Active,9,High,7,Moderate
11050,51,99.3,19400,6.8,Active,3,Low,14,Excellent
3241,118,98.9,15016,6.9,Highly Active,6,Moderate,11,Good
8065,107,94.0,730,2.4,Sedentary,8,High,5,Low
9523,81,96.9,12219,6.8,Active,5,Moderate,10,Good
16847,107,95.3,7978,5.1,Moderate,7,Moderate,9,Moderate
8045,140,86.4,3021,3.8,Sedentary,9,High,5,Low
18050,40,97.8,17903,7.4,Active,2,Low,14,Excellent
8363,64,98.3,5411,8.5,Moderate,2,Low,14,Excellent
9610,118,98.7,1074,5.9,Sedentary,6,Moderate,9,Moderate
8806,50,98.0,676,8.8,Sedentary,1,Low,13,Excellent
12756,194,87.8,13625,1.0,Active,10,High,7,Moderate
15055,163,90.5,19627,3.0,Active,8,High,7,Moderate
4670,70,97.7,2177,6.9,Sedentary,1,Low,10,Good
732,159,87.4,17061,1.8,Active,9,High,7,Moderate
232,58,99.6,12130,7.5,Active,2,Low,15,Excellent
15882,168,90.6,8226,1.0,Moderate,9,High,6,Low
11692,120,96.2,16282,5.1,Highly Active,6,Moderate,10,Good
5141,48,98.9,8271,8.4,Moderate,2,Low,14,Excellent
3789,173,94.5,12683,1.9,Active,8,High,7,Moderate
